날짜,클릭수,노출,CTR,게재 순위
2026-06-17,0,14,0%,11.9
2026-06-18,1,8,12.5%,15.8
2026-06-19,0,7,0%,17.3
2026-06-20,0,9,0%,20.1
2026-06-21,0,13,0%,10
2026-06-22,0,12,0%,41.8
2026-06-23,0,7,0%,39.3
2026-06-24,0,9,0%,38
2026-06-25,0,8,0%,23.1
2026-06-26,0,25,0%,16.9
2026-06-27,1,8,12.5%,16
2026-06-28,0,10,0%,18.8
2026-06-29,1,10,10%,8.4
2026-06-30,0,5,0%,12.4
2026-07-01,0,9,0%,24.1
2026-07-02,0,7,0%,28.1
2026-07-03,0,9,0%,45.6
2026-07-04,1,5,20%,20.6
2026-07-05,0,11,0%,3.6
2026-07-06,0,6,0%,8.5
2026-07-07,0,7,0%,26.4
2026-07-08,0,3,0%,5.7
2026-07-09,1,4,25%,5.8
2026-07-10,2,11,18.18%,20
2026-07-11,1,9,11.11%,40.8
2026-07-12,1,18,5.56%,20.4
2026-07-13,0,7,0%,37.9
2026-07-14,0,16,0%,24
