인기 페이지,클릭수,노출,CTR,게재 순위
https://gsfark.com/ko/posts/tokyo-earthquake-vulnerable-five-areas/,1,23,4.35%,11.35
https://gsfark.com/posts/tokyo-earthquake-vulnerable-five-areas/,1,18,5.56%,10.5
https://gsfark.com/ja/,1,10,10%,5.5
https://gsfark.com/ja/posts/tokyo-shinagawa-ota/,1,9,11.11%,8.89
https://gsfark.com/ko/topics/,1,9,11.11%,10
https://gsfark.com/posts/tokyo-ward-guide-series-prologue/,1,6,16.67%,13.5
https://gsfark.com/ko/posts/coredo-nihonbashi-mitsui-redevelopment/,1,2,50%,9.5
https://gsfark.com/ko/posts/tokyo-musashino-mitaka-chofu/,1,2,50%,32
https://gsfark.com/ja/posts/nihonbashi-mitsui-redevelopment-pipeline-three,1,1,100%,4
https://gsfark.com/posts/nihonbashi-hamacho-supermarket-peacock-city-life/,0,28,0%,10.86
https://gsfark.com/ko/posts/tokyo-shinagawa-ota/,0,15,0%,28.67
https://gsfark.com/ko/posts/tokyo-meguro-setagaya/,0,13,0%,12.54
https://gsfark.com/posts/tokyo-adachi-katsushika-edogawa/,0,13,0%,48.46
https://gsfark.com/posts/tokyo-meguro-setagaya/,0,13,0%,54.08
https://gsfark.com/ko/,0,12,0%,4
https://gsfark.com/posts/tokyo-taito-sumida-koto/,0,12,0%,18
https://gsfark.com/posts/tokyo-shinagawa-ota/,0,12,0%,70.25
https://gsfark.com/,0,10,0%,2.2
https://gsfark.com/contact/,0,10,0%,7.5
https://gsfark.com/methodology/,0,10,0%,8.4
https://gsfark.com/posts/tokyo-shinjuku-shibuya-bunkyo/,0,10,0%,26.9
https://gsfark.com/mission/,0,9,0%,1
https://gsfark.com/about/,0,9,0%,4
https://gsfark.com/topics/,0,9,0%,5
https://gsfark.com/posts/,0,9,0%,7
https://gsfark.com/posts/tokyo-real-estate-investment-complete-guide/,0,9,0%,17.56
https://gsfark.com/posts/tokyo-core-3-wards-chiyoda-chuo-minato/,0,7,0%,4.29
https://gsfark.com/posts/tokyo-office-vacancy-five-wards-2026/,0,7,0%,9
https://gsfark.com/ko/posts/tokyo-real-estate-investment-complete-guide/,0,7,0%,27.71
https://gsfark.com/privacy-policy/,0,5,0%,9
https://gsfark.com/ko/about/,0,5,0%,9.6
https://gsfark.com/ja/posts/,0,5,0%,13
https://gsfark.com/ko/posts/ginza-weekend-walking-guide/,0,5,0%,13.8
https://gsfark.com/posts/ginza-weekend-walking-guide/,0,5,0%,23.8
https://gsfark.com/ja/posts/tokyo-meguro-setagaya/,0,4,0%,7.25
https://gsfark.com/ja/about/,0,4,0%,10.75
https://gsfark.com/ja/contact/,0,4,0%,14.25
https://gsfark.com/ja/topics/,0,3,0%,14
https://gsfark.com/ko/posts/,0,3,0%,16
https://gsfark.com/ja/mission/,0,3,0%,18
https://gsfark.com/ko/mission/,0,3,0%,19
https://gsfark.com/ko/methodology/,0,3,0%,20
https://gsfark.com/author/joseph-kim/,0,3,0%,38.33
https://gsfark.com/ko/posts/tokyo-shinjuku-shibuya-bunkyo/,0,3,0%,53.33
https://gsfark.com/posts/tokyo-korean-community-beyond-shinokubo/,0,2,0%,4
https://gsfark.com/posts/tokyo-6-wards-real-estate-insight/,0,2,0%,5
https://gsfark.com/ko/posts/tokyo-buying-process-step-by-step/,0,2,0%,6.5
https://gsfark.com/ko/posts/korea-japan-inheritance-gift-tax-cross-border-basics/,0,2,0%,13.5
https://gsfark.com/posts/japan-visa-paths-permanent-business-manager-asset-holders/,0,2,0%,22
https://gsfark.com/ko/posts/tokyo-ward-guide-series-prologue/,0,2,0%,50.5
https://gsfark.com/ja/posts/nihonbashi-hamacho-walking-guide/,0,1,0%,3
https://gsfark.com/ja/posts/tokyo-ward-guide-series-prologue/,0,1,0%,3
https://gsfark.com/ja/terms-of-service/,0,1,0%,3
https://gsfark.com/posts/reading-korea-japan-markets-together/,0,1,0%,3
https://gsfark.com/ja/posts/macro-barrier-and-super-scarce-real-estate-selection/,0,1,0%,6
https://gsfark.com/ko/posts/buying-property-japan-checklist-before-you-commit/,0,1,0%,6
https://gsfark.com/ko/posts/tokyo-office-vacancy-five-wards-2026/,0,1,0%,8
https://gsfark.com/posts/tokyo-kita-arakawa-itabashi-nerima/,0,1,0%,44
https://gsfark.com/posts/tokyo-five-sophisticated-spots/,0,1,0%,63
https://gsfark.com/posts/korea-resident-japan-property-capital-gains-tax/,0,1,0%,75
https://gsfark.com/posts/korea-japan-inheritance-gift-tax-cross-border-basics/,0,1,0%,79
